chip_id	input_id	method	chrom	input_factor	mutant_id
324_S2-ChIP_2	324_S2-ChIP-INPUT_1	linear_regression	II	0.03419772544768501	324
324_S2-ChIP_2	324_S2-ChIP-INPUT_1	global_lambda	II	0.03588587851876465	324
324_S2-ChIP_2	324_S2-ChIP-INPUT_1	linear_regression	III	0.04090663427806962	324
324_S2-ChIP_2	324_S2-ChIP-INPUT_1	global_lambda	III	0.04375806330457846	324
491_S2-ChIP_1	491_S2-ChIP-INPUT_1	linear_regression	I	0.032494252658846166	491
491_S2-ChIP_1	491_S2-ChIP-INPUT_1	global_lambda	I	0.032652777043952565	491
491_S2-ChIP_1	491_S2-ChIP-INPUT_1	linear_regression	II	0.02277640644375056	491
491_S2-ChIP_1	491_S2-ChIP-INPUT_1	global_lambda	II	0.023166971621995075	491
491_S2-ChIP_1	491_S2-ChIP-INPUT_1	linear_regression	III	0.038525214619351225	491
491_S2-ChIP_1	491_S2-ChIP-INPUT_1	global_lambda	III	0.03786080778596864	491
491_S2-ChIP_2	491_S2-ChIP-INPUT_1	linear_regression	I	0.06841196749156257	491
491_S2-ChIP_2	491_S2-ChIP-INPUT_1	global_lambda	I	0.0679483121555516	491
491_S2-ChIP_2	491_S2-ChIP-INPUT_1	linear_regression	II	0.055985028132975324	491
491_S2-ChIP_2	491_S2-ChIP-INPUT_1	global_lambda	II	0.05609492208737557	491
491_S2-ChIP_2	491_S2-ChIP-INPUT_1	linear_regression	III	0.07437881246038497	491
491_S2-ChIP_2	491_S2-ChIP-INPUT_1	global_lambda	III	0.08086622075931002	491
504_S2-ChIP_1	504_S2-ChIP-INPUT_1	linear_regression	I	0.11017515980936768	504
504_S2-ChIP_1	504_S2-ChIP-INPUT_1	global_lambda	I	0.12369069003756485	504
504_S2-ChIP_1	504_S2-ChIP-INPUT_1	linear_regression	II	0.10467584366587497	504
504_S2-ChIP_1	504_S2-ChIP-INPUT_1	global_lambda	II	0.1206089400761172	504
504_S2-ChIP_1	504_S2-ChIP-INPUT_1	linear_regression	III	0.11688237189225825	504
504_S2-ChIP_1	504_S2-ChIP-INPUT_1	global_lambda	III	0.13852854491153754	504
504_S2-ChIP_2	504_S2-ChIP-INPUT_1	linear_regression	I	0.15180426555592505	504
504_S2-ChIP_2	504_S2-ChIP-INPUT_1	global_lambda	I	0.16742520050801624	504
504_S2-ChIP_2	504_S2-ChIP-INPUT_1	linear_regression	II	0.1401536992869421	504
504_S2-ChIP_2	504_S2-ChIP-INPUT_1	global_lambda	II	0.1555881694485212	504
504_S2-ChIP_2	504_S2-ChIP-INPUT_1	linear_regression	III	0.15173305911927112	504
504_S2-ChIP_2	504_S2-ChIP-INPUT_1	global_lambda	III	0.18203909139818886	504
510_S2-ChIP_1	510_S2-ChIP-INPUT_1	linear_regression	I	0.6053822561138485	510
510_S2-ChIP_1	510_S2-ChIP-INPUT_1	global_lambda	I	0.6969242674489771	510
510_S2-ChIP_1	510_S2-ChIP-INPUT_1	linear_regression	II	0.6368978723993994	510
510_S2-ChIP_1	510_S2-ChIP-INPUT_1	global_lambda	II	0.730774944519485	510
510_S2-ChIP_1	510_S2-ChIP-INPUT_1	linear_regression	III	0.6199313706257878	510
510_S2-ChIP_1	510_S2-ChIP-INPUT_1	global_lambda	III	0.7334218033432273	510
510_S2-ChIP_2	510_S2-ChIP-INPUT_1	linear_regression	I	0.1587203110335022	510
510_S2-ChIP_2	510_S2-ChIP-INPUT_1	global_lambda	I	0.175362954920826	510
510_S2-ChIP_2	510_S2-ChIP-INPUT_1	linear_regression	II	0.1684435450692209	510
510_S2-ChIP_2	510_S2-ChIP-INPUT_1	global_lambda	II	0.1861768382848693	510
510_S2-ChIP_2	510_S2-ChIP-INPUT_1	linear_regression	III	0.17840552979439794	510
510_S2-ChIP_2	510_S2-ChIP-INPUT_1	global_lambda	III	0.19129113241577167	510
523_S2-ChIP_1	523_S2-ChIP-INPUT_1	linear_regression	I	0.2797073711000681	523
523_S2-ChIP_1	523_S2-ChIP-INPUT_1	global_lambda	I	0.2932588325564604	523
523_S2-ChIP_1	523_S2-ChIP-INPUT_1	linear_regression	II	0.2882732734615312	523
523_S2-ChIP_1	523_S2-ChIP-INPUT_1	global_lambda	II	0.3069964995048253	523
523_S2-ChIP_1	523_S2-ChIP-INPUT_1	linear_regression	III	0.3226853286427296	523
523_S2-ChIP_1	523_S2-ChIP-INPUT_1	global_lambda	III	0.34002463422053586	523
524_S2-ChIP_1	524_S2-ChIP-INPUT_1	linear_regression	I	0.4505617997815554	524
524_S2-ChIP_1	524_S2-ChIP-INPUT_1	global_lambda	I	0.5305808531099617	524
524_S2-ChIP_1	524_S2-ChIP-INPUT_1	linear_regression	II	0.5745576443491321	524
524_S2-ChIP_1	524_S2-ChIP-INPUT_1	global_lambda	II	0.6536730390733928	524
524_S2-ChIP_1	524_S2-ChIP-INPUT_1	linear_regression	III	0.4386938483679655	524
524_S2-ChIP_1	524_S2-ChIP-INPUT_1	global_lambda	III	0.5258918213349959	524
530_S2-ChIP_1	530_S2-ChIP-INPUT_1	linear_regression	I	0.17777751571366954	530
530_S2-ChIP_1	530_S2-ChIP-INPUT_1	global_lambda	I	0.1894052940391168	530
530_S2-ChIP_1	530_S2-ChIP-INPUT_1	linear_regression	II	0.1993367811048765	530
530_S2-ChIP_1	530_S2-ChIP-INPUT_1	global_lambda	II	0.22023468270059865	530
530_S2-ChIP_1	530_S2-ChIP-INPUT_1	linear_regression	III	0.18822653615408355	530
530_S2-ChIP_1	530_S2-ChIP-INPUT_1	global_lambda	III	0.21646214455144425	530
530_S2-ChIP_2	530_S2-ChIP-INPUT_1	linear_regression	I	0.08767436931107507	530
530_S2-ChIP_2	530_S2-ChIP-INPUT_1	global_lambda	I	0.08808912210072453	530
530_S2-ChIP_2	530_S2-ChIP-INPUT_1	linear_regression	II	0.06906412361748425	530
530_S2-ChIP_2	530_S2-ChIP-INPUT_1	global_lambda	II	0.07901139621058519	530
530_S2-ChIP_2	530_S2-ChIP-INPUT_1	linear_regression	III	0.07325242685848359	530
530_S2-ChIP_2	530_S2-ChIP-INPUT_1	global_lambda	III	0.08079838936289957	530
544_S2-ChIP_1	544_S2-ChIP-OIN_1	linear_regression	I	0.03812285774983128	544
544_S2-ChIP_1	544_S2-ChIP-OIN_1	global_lambda	I	0.0386489348986693	544
544_S2-ChIP_1	544_S2-ChIP-OIN_1	linear_regression	II	0.03122951701182438	544
